,Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,last
3455,Arab World,ARB,"Youth illiterate population, 15-24 years, % female",UIS.LPP.AG15T24,,,,,,,,63.95826,63.79572,63.64966,63.5642,63.53464,63.54282,64.10282,64.19182,64.28201,64.32852,64.31683,64.28617,64.25268,64.26675,64.89065,64.90176,65.63913,65.47124,65.32609,65.07053,64.76532,64.29488,63.78942,63.27826,62.99,62.59999,65.36462,64.80171,64.47836,60.88436,60.62031,60.43429,59.5378,59.18875,58.96962,60.48713,58.84385,59.02092,56.81433,57.56398,56.94649,55.53667,55.4316,55.4316
3456,Arab World,ARB,"Youth illiterate population, 15-24 years, both sexes (number)",UIS.LP.AG15T24,,,,,,,,11254823.0,11549770.0,11834747.0,12076703.0,12261152.0,12405456.0,12569264.0,12535254.0,12481037.0,12378945.0,12324556.0,12223656.0,12128795.0,11987161.0,11637183.0,11492180.0,11925622.0,11832474.0,11743900.0,11612913.0,11551600.0,11534471.0,11457530.0,11381660.0,11190710.0,10887179.0,10594415.0,10414307.0,10403212.0,11519218.0,11227476.0,10963496.0,12970676.0,12841141.0,12734136.0,10054246.0,9919306.0,9194449.0,11619471.0,10048709.0,9724633.0,12526521.0,12527865.0,12527865.0
3457,Arab World,ARB,"Youth illiterate population, 15-24 years, female (number)",UIS.LP.AG15T24.F,,,,,,,,7198389.0,7368259.0,7532777.0,7676459.0,7790078.0,7882777.0,8057252.0,8046608.0,8023062.0,7963193.0,7926764.0,7858120.0,7793076.0,7703759.0,7551443.0,7458627.0,7827875.0,7746867.0,7671831.0,7556584.0,7481430.0,7416074.0,7308692.0,7202116.0,7049028.0,6815373.0,6924999.0,6748649.0,6707820.0,7013402.0,6806130.0,6625711.0,7722455.0,7600511.0,7509272.0,6081525.0,5836902.0,5426649.0,6601525.0,5784437.0,5537838.0,6956813.0,6944396.0,6944396.0
3458,Arab World,ARB,"Youth illiterate population, 15-24 years, male (number)",UIS.LP.AG15T24.M,,,,,,,,4056434.0,4181511.0,4301970.0,4400243.0,4471074.0,4522679.0,4512012.0,4488647.0,4457975.0,4415752.0,4397792.0,4365536.0,4335719.0,4283402.0,4085739.0,4033553.0,4097747.0,4085607.0,4072069.0,4056329.0,4070170.0,4118397.0,4148838.0,4179544.0,4141681.0,4071806.0,3669417.0,3665658.0,3695392.0,4505815.0,4421346.0,4337785.0,5248221.0,5240630.0,5224864.0,3972721.0,4082404.0,3767800.0,5017946.0,4264272.0,4186795.0,5569708.0,5583469.0,5583469.0
4608,Caribbean small states,CSS,"Youth illiterate population, 15-24 years, % female",UIS.LPP.AG15T24,,,,,,,,,,,,,,,,,,,,,,,,33.63634,33.59023,33.75038,34.06982,34.42079,34.51732,34.57509,34.62693,34.34581,33.95826,33.5694,33.18415,32.84915,33.31131,31.59206,31.71571,31.88082,31.76778,31.77528,33.2027,31.93443,31.98022,32.07964,32.07964,32.07964,32.07964,32.07964,32.07964
4609,Caribbean small states,CSS,"Youth illiterate population, 15-24 years, both sexes (number)",UIS.LP.AG15T24,,,,,,,,,,,,,,,,,,,,,,,,90168.0,89484.0,86815.0,84049.0,81219.0,76151.0,71879.0,70469.0,67842.0,65446.0,63422.0,61702.0,59754.0,59569.0,54105.0,52768.0,51338.0,50743.0,49577.0,49481.0,44138.0,42607.0,42966.0,42966.0,42966.0,42966.0,42966.0,42966.0
4610,Caribbean small states,CSS,"Youth illiterate population, 15-24 years, female (number)",UIS.LP.AG15T24.F,,,,,,,,,,,,,,,,,,,,,,,,30329.0,30058.0,29300.0,28635.0,27956.0,26285.0,24852.0,24401.0,23301.0,22224.0,21290.0,20475.0,19629.0,19843.0,17093.0,16736.0,16367.0,16120.0,15753.0,16429.0,14095.0,13626.0,13783.0,13783.0,13783.0,13783.0,13783.0,13783.0
4611,Caribbean small states,CSS,"Youth illiterate population, 15-24 years, male (number)",UIS.LP.AG15T24.M,,,,,,,,,,,,,,,,,,,,,,,,59839.0,59426.0,57514.0,55414.0,53263.0,49866.0,47027.0,46068.0,44541.0,43221.0,42131.0,41227.0,40125.0,39726.0,37012.0,36032.0,34971.0,34623.0,33824.0,33052.0,30042.0,28981.0,29183.0,29183.0,29183.0,29183.0,29183.0,29183.0
5761,Central Europe and the Baltics,CEB,"Youth illiterate population, 15-24 years, % female",UIS.LPP.AG15T24,,,,,,,,,,,,53.79585,53.57282,53.35785,52.87501,52.68776,52.49463,52.28133,52.16511,52.09922,51.77001,51.49171,51.05263,50.73534,50.42027,50.12538,49.85999,49.64158,49.21224,49.00571,48.80185,48.50626,48.20631,47.91507,47.63402,47.38486,47.10705,46.89452,47.32772,48.94369,48.61532,48.25449,47.99978,47.58801,47.29279,47.06725,46.79737,46.79737,46.79737,46.79737,46.79737
5762,Central Europe and the Baltics,CEB,"Youth illiterate population, 15-24 years, both sexes (number)",UIS.LP.AG15T24,,,,,,,,,,,,83945.0,82704.0,81969.0,80359.0,80779.0,81761.0,83012.0,85508.0,87640.0,89814.0,91657.0,93575.0,95650.0,97421.0,98849.0,99639.0,100682.0,100766.0,137906.0,140537.0,141312.0,141541.0,143295.0,144460.0,144809.0,143682.0,141610.0,136724.0,91026.0,85601.0,80376.0,75262.0,70029.0,64988.0,60574.0,56148.0,56148.0,56148.0,56148.0,56148.0
5763,Central Europe and the Baltics,CEB,"Youth illiterate population, 15-24 years, female (number)",UIS.LP.AG15T24.F,,,,,,,,,,,,45159.0,44307.0,43737.0,42490.0,42560.0,42920.0,43400.0,44605.0,45660.0,46497.0,47196.0,47772.0,48528.0,49120.0,49549.0,49680.0,49980.0,49589.0,67582.0,68585.0,68545.0,68232.0,68660.0,68812.0,68618.0,67684.0,66408.0,64708.0,44551.0,41615.0,38785.0,36126.0,33325.0,30735.0,28511.0,26276.0,26276.0,26276.0,26276.0,26276.0
5764,Central Europe and the Baltics,CEB,"Youth illiterate population, 15-24 years, male (number)",UIS.LP.AG15T24.M,,,,,,,,,,,,38786.0,38397.0,38232.0,37869.0,38218.0,38841.0,39612.0,40903.0,41980.0,43317.0,44461.0,45802.0,47122.0,48301.0,49301.0,49959.0,50702.0,51177.0,70324.0,71952.0,72767.0,73309.0,74635.0,75648.0,76191.0,75997.0,75203.0,72015.0,46474.0,43986.0,41591.0,39137.0,36704.0,34253.0,32064.0,29872.0,29872.0,29872.0,29872.0,29872.0
6914,Early-demographic dividend,EAR,"Youth illiterate population, 15-24 years, % female",UIS.LPP.AG15T24,,,,,,61.99162,61.9489,61.80127,61.61532,61.44086,61.14679,60.84055,60.51027,60.23603,59.85337,59.52414,59.2014,59.16143,61.52175,61.48181,61.32735,61.23755,61.38643,61.75275,61.48303,61.20905,60.91517,60.67985,62.69481,62.15073,61.67794,61.15474,61.58224,62.13509,61.71525,63.33048,62.6544,60.21567,61.8374,61.33308,60.0165,58.89319,58.57177,58.14094,57.4462,56.60957,55.96644,55.66272,55.03672,54.66725,54.66725
6915,Early-demographic dividend,EAR,"Youth illiterate population, 15-24 years, both sexes (number)",UIS.LP.AG15T24,,,,,,105865318.0,108238085.0,109344640.0,110400582.0,111486182.0,112922242.0,114457241.0,115552976.0,116675474.0,117370512.0,118302704.0,118837629.0,117082805.0,117507035.0,116550774.0,115096999.0,114154443.0,111989034.0,110834619.0,109467593.0,107924168.0,107022127.0,106577475.0,99436933.0,98085341.0,96927533.0,95862487.0,92656788.0,90026900.0,86878287.0,85741028.0,82713016.0,83292150.0,73686934.0,70654248.0,70116530.0,69240860.0,66130734.0,61819678.0,58378248.0,55047046.0,52433370.0,50746492.0,48948341.0,46793794.0,46793794.0
6916,Early-demographic dividend,EAR,"Youth illiterate population, 15-24 years, female (number)",UIS.LP.AG15T24.F,,,,,,65627625.0,67052305.0,67576371.0,68023671.0,68498068.0,69048329.0,69636415.0,69921418.0,70280668.0,70250205.0,70418673.0,70353540.0,69267858.0,72292385.0,71657521.0,70585938.0,69905383.0,68746073.0,68443426.0,67303991.0,66059361.0,65192714.0,64671054.0,62341793.0,60960752.0,59782903.0,58624453.0,57060124.0,55938299.0,53617152.0,54300204.0,51823344.0,50154927.0,45566086.0,43334426.0,42081489.0,40778151.0,38733940.0,35942545.0,33536084.0,31161894.0,29345091.0,28246876.0,26939561.0,25580881.0,25580881.0
6917,Early-demographic dividend,EAR,"Youth illiterate population, 15-24 years, male (number)",UIS.LP.AG15T24.M,,,,,,40237693.0,41185779.0,41768268.0,42376911.0,42988114.0,43873913.0,44820826.0,45631558.0,46394806.0,47120307.0,47884031.0,48484090.0,47814947.0,45214650.0,44893253.0,44511061.0,44249059.0,43242961.0,42391194.0,42163602.0,41864808.0,41829413.0,41906420.0,37095140.0,37124589.0,37144630.0,37238034.0,35596664.0,34088601.0,33261135.0,31440824.0,30889672.0,33137223.0,28120849.0,27319822.0,28035041.0,28462709.0,27396795.0,25877133.0,24842164.0,23885152.0,23088279.0,22499616.0,22008780.0,21212914.0,21212914.0
8067,East Asia & Pacific,EAS,"Youth illiterate population, 15-24 years, % female",UIS.LPP.AG15T24,,,,,,,74.5952,74.58515,74.47843,74.17941,73.70279,73.16532,72.32131,72.11436,71.61546,71.03969,70.37061,71.6196,69.45554,68.68565,67.91322,67.09408,66.29967,65.52802,64.92445,64.3215,63.87469,59.57488,58.84411,57.82862,58.15203,56.96631,56.29028,54.95073,55.57384,54.7914,55.06012,53.41847,52.36767,51.17075,50.47328,50.29017,49.96286,48.9737,47.97566,48.78532,48.23257,47.79486,47.19409,46.83784,46.83784
